k,rounds,error
1.0,40,2.0287211496012247E-4
1.2,45,2.167416978731964E-4
1.4,47,2.2111302446333524E-4
1.6,51,2.3940875361287085E-4
1.8,67,2.5093135633225925E-4
2.0,47,2.6582947071187847E-4
2.2,54,2.6950330868619687E-4
2.4000000000000004,48,2.785591387072799E-4
2.6,53,2.826255173348926E-4
2.8,67,2.841637348233093E-4
3.0,69,2.98938071587159E-4
3.2,56,3.082845617466106E-4
3.4000000000000004,57,3.2708074575673153E-4
3.6,54,3.4090664377529835E-4
3.8000000000000003,60,3.092823883704767E-4
4.0,65,3.1109749085005947E-4
4.2,61,3.658669822958771E-4
4.4,58,3.4899161866166394E-4
4.6,67,3.499241146110137E-4
4.800000000000001,58,3.8572976346623025E-4
5.0,58,4.087796553562271E-4
5.2,61,4.018840773472405E-4
5.4,57,4.1065987047220887E-4
5.6000000000000005,51,4.444927865484161E-4
5.800000000000001,63,4.354003762101044E-4
6.0,62,4.12316476183058E-4
6.2,70,4.598867294086375E-4
6.4,61,5.476677205807335E-4
6.6000000000000005,62,3.9370600952731396E-4
6.800000000000001,58,4.480579720174234E-4
7.0,64,4.2564158897651083E-4
7.2,63,4.1973258301999293E-4
7.4,70,4.3806238575163546E-4
7.6000000000000005,69,4.3006873615742335E-4
7.800000000000001,83,4.15661688792909E-4
8.0,60,4.2464269855246075E-4
8.2,63,4.00340194170802E-4
8.4,65,4.211266180122593E-4
8.600000000000001,73,4.343353888503003E-4
8.8,64,4.792911732766285E-4
9.0,61,4.1754605202761754E-4
9.200000000000001,68,4.712037586562232E-4
9.4,64,4.1701184719777017E-4
9.6,79,4.0183479873546444E-4
9.8,62,4.3012832602286013E-4
10.0,47,7.110388780597887E-4
10.200000000000001,50,6.511921056114076E-4
10.4,48,6.847517637204988E-4
10.600000000000001,50,8.11682128732528E-4
10.8,46,6.390261869229761E-4
11.0,51,7.193381581353293E-4
11.200000000000001,64,8.91283472810116E-4
11.4,57,7.081454344429972E-4
11.600000000000001,53,8.226198502666193E-4
11.8,55,7.604213285145391E-4
12.0,51,7.355788763059365E-4
12.200000000000001,52,6.417590341647141E-4
12.4,54,6.911484037545463E-4
12.600000000000001,48,7.018794703337861E-4
12.8,53,6.661182820413529E-4
13.0,62,8.64163444753828E-4
13.200000000000001,43,7.19006234464672E-4
13.4,57,7.415360751943823E-4
13.600000000000001,56,7.76370780472746E-4
13.8,55,8.008059210603804E-4
14.0,51,6.543926965547158E-4
14.200000000000001,48,7.983050201676392E-4
14.4,55,6.866813379059593E-4
14.600000000000001,57,6.530651386209953E-4
14.8,61,6.629352610656341E-4
15.0,60,7.539569274551141E-4
15.200000000000001,59,7.606897422268802E-4
15.4,60,6.634481380104518E-4
15.600000000000001,60,6.632152187339458E-4
15.8,58,7.292343025940937E-4
16.0,61,8.210704278571584E-4
16.200000000000003,58,6.457415735559877E-4
16.4,60,7.451089714381993E-4
16.6,63,6.845708806832675E-4
16.8,61,8.266357824582471E-4
17.0,57,7.626077584557578E-4
17.2,59,7.263041602557365E-4
17.400000000000002,57,7.114564632719507E-4
17.6,61,7.232761639519438E-4
17.8,57,6.520616829650905E-4
18.0,63,0.0010088954229316655
18.2,64,7.955648578256671E-4
18.400000000000002,54,6.917164145969039E-4
18.6,64,8.990778046753647E-4
18.8,62,7.17311456891224E-4
19.0,57,6.636009299220902E-4
19.2,55,7.323487741815669E-4
19.400000000000002,55,7.303753109219358E-4
19.6,59,7.000532409007292E-4
19.8,68,6.890183036827011E-4
20.0,60,7.004812260048326E-4
20.200000000000003,55,7.040284258561513E-4
20.400000000000002,59,7.54498160546369E-4
20.6,65,6.976886707809129E-4
20.8,78,9.339813879270764E-4
