size,rounds,error
20,26,2.35443632851684E-4
30,26,2.3595514410956753E-4
40,24,3.0396534140795237E-4
50,27,2.64826795585833E-4
60,29,2.2064097520780497E-4
70,31,2.7164522424365196E-4
80,31,2.181928063085259E-4
90,29,2.7810905569146545E-4
100,32,2.189937484433102E-4
110,30,2.3395256984967846E-4
120,28,2.807685423794837E-4
130,30,2.8845716869160863E-4
140,34,2.294748782237629E-4
150,31,2.3003490431108275E-4
160,29,2.2313927977273272E-4
170,30,2.2569386177212557E-4
180,32,2.2886710068878498E-4
190,33,2.6556558237493576E-4
200,32,2.471844010348789E-4
210,32,2.3224042248300305E-4
220,40,2.136461052527365E-4
230,34,2.0975666391967584E-4
240,33,2.2626999170682893E-4
250,32,2.3946540105652047E-4
260,40,2.05138026073361E-4
270,37,2.146729641135418E-4
280,37,2.3131438403376186E-4
290,38,1.9645360783615792E-4
300,35,2.249983273613528E-4
310,35,2.1082626581096336E-4
320,36,2.2694874831352685E-4
330,38,2.3832830361807523E-4
340,38,2.175575188068363E-4
350,36,2.1265899167066291E-4
360,37,2.2004260418532576E-4
370,38,2.102621851523014E-4
380,36,2.1467164958409432E-4
390,37,2.216234893963404E-4
400,36,2.2955799126593844E-4
410,36,2.300797614115602E-4
420,33,2.3734055270102162E-4
430,42,2.0647043027363887E-4
440,39,2.134069811082026E-4
450,39,2.1044271656101108E-4
460,36,2.267639934686372E-4
470,39,2.2182757692073337E-4
480,37,2.1133266917043868E-4
490,37,2.4656054414067533E-4
500,37,2.415399866175676E-4
510,41,2.0663094859342583E-4
520,35,2.2934703011875476E-4
530,39,2.1160294757688347E-4
540,39,2.2413348877093774E-4
550,38,2.0257894623584475E-4
560,38,2.062772007923565E-4
570,46,2.0979009639730567E-4
580,41,2.3081532078501305E-4
590,38,2.3175709112943266E-4
600,38,2.268916941282247E-4
610,43,2.134019592623804E-4
620,41,2.1575502574640887E-4
630,39,2.0332795318488082E-4
640,36,2.3358581227919117E-4
650,34,2.365693324741012E-4
660,45,2.0882252050819994E-4
670,41,2.1830139747437366E-4
680,38,2.086070148161521E-4
690,43,2.242908127367775E-4
700,41,2.260085991339419E-4
710,36,2.3746837582440945E-4
720,40,2.16474131971367E-4
730,41,2.2756452353958677E-4
740,41,2.1468577680456126E-4
750,41,2.1809048375559807E-4
760,39,2.158144016491772E-4
770,40,2.2581244644650586E-4
780,41,2.183915826828972E-4
790,42,2.0555365410660035E-4
800,36,2.2932990057157986E-4
810,44,2.1411358345301183E-4
820,38,2.2273130449894867E-4
830,40,2.1876340834585753E-4
840,45,2.1075206305651322E-4
850,43,2.1964185342914576E-4
860,41,2.1966280454378925E-4
870,44,2.138214960323063E-4
880,37,2.2729873000981726E-4
890,43,2.1568743506570742E-4
900,45,2.1857894813190153E-4
910,43,2.1971138088872053E-4
920,38,2.3319761628098852E-4
930,41,2.1953831930480734E-4
940,46,2.1215643914018756E-4
950,42,2.2660350369639858E-4
960,49,2.0583258185293088E-4
970,38,2.344971876175819E-4
980,43,2.0450915893106274E-4
990,42,2.2798496541459387E-4
