k,rounds,error
1.0,38,2.0014992841201718E-4
1.2,40,2.1946456595164676E-4
1.4,46,2.1734888199288348E-4
1.6,53,2.3731137798233703E-4
1.8,51,2.464060080540378E-4
2.0,43,2.8065224258781284E-4
2.2,53,2.594961973060066E-4
2.4000000000000004,54,2.6591791617069303E-4
2.6,60,2.8370544276106813E-4
2.8,52,3.10902910957644E-4
3.0,57,2.9328758708130207E-4
3.2,48,3.336491758378912E-4
3.4000000000000004,66,3.139764860138783E-4
3.6,59,3.294000019894199E-4
3.8000000000000003,52,3.2783811987543033E-4
4.0,55,3.5320141444238827E-4
4.2,62,3.300425264055065E-4
4.4,62,3.2622164515112926E-4
4.6,66,3.3721960924614793E-4
4.800000000000001,59,3.999203268732856E-4
5.0,69,4.0305603718904595E-4
5.2,58,4.158037617292365E-4
5.4,69,4.6988094128016654E-4
5.6000000000000005,57,4.0589496637192466E-4
5.800000000000001,63,3.8471948662808586E-4
6.0,55,4.3378295824454937E-4
6.2,67,4.425121467826685E-4
6.4,70,4.011293958807229E-4
6.6000000000000005,62,4.2765517398942165E-4
6.800000000000001,65,4.275131229758742E-4
7.0,69,3.927336289232173E-4
7.2,67,4.28554866158116E-4
7.4,66,4.2749531442574804E-4
7.6000000000000005,65,4.726169690597288E-4
7.800000000000001,60,4.4277200610499533E-4
8.0,69,4.4553997754668727E-4
8.2,64,4.2232104787744617E-4
8.4,68,4.299174157724579E-4
8.600000000000001,66,4.537970857183069E-4
8.8,75,4.877448973021501E-4
9.0,70,4.161352444228612E-4
9.200000000000001,99,7.641484917254573E-4
9.4,79,5.1074517825095E-4
9.6,69,4.784229637880699E-4
9.8,61,4.5093245968478614E-4
10.0,46,6.820067914157093E-4
10.200000000000001,53,6.842708166395397E-4
10.4,48,7.408033777877136E-4
10.600000000000001,52,7.033509981766884E-4
10.8,53,6.815444712607003E-4
11.0,50,6.571178070145649E-4
11.200000000000001,52,7.495723824926443E-4
11.4,47,6.470027722792437E-4
11.600000000000001,58,0.0010376882477178455
11.8,48,7.313057072092591E-4
12.0,51,7.646050689978381E-4
12.200000000000001,51,7.200691884861214E-4
12.4,48,6.817646471132548E-4
12.600000000000001,54,6.54553138406996E-4
12.8,54,6.708505909511616E-4
13.0,56,6.678982418801596E-4
13.200000000000001,49,6.914825251278671E-4
13.4,59,7.387231393980116E-4
13.600000000000001,54,6.910494030887761E-4
13.8,63,0.0010018695568674118
14.0,53,7.72892624770769E-4
14.200000000000001,60,7.648490376309169E-4
14.4,55,7.421693206109624E-4
14.600000000000001,64,7.601038386190026E-4
14.8,54,8.044264514625894E-4
15.0,52,6.949877841042777E-4
15.200000000000001,63,6.958738556562665E-4
15.4,61,8.892985638544388E-4
15.600000000000001,53,6.35677782238794E-4
15.8,49,6.761850256246333E-4
16.0,51,7.702151658413712E-4
16.200000000000003,61,8.2747640449805E-4
16.4,53,8.596528071685299E-4
16.6,57,6.811533411289759E-4
16.8,54,8.153783076109634E-4
17.0,62,7.88351195011117E-4
17.2,57,8.94123007843973E-4
17.400000000000002,66,7.248518207337753E-4
17.6,62,6.469089228611651E-4
17.8,69,8.269223727417838E-4
18.0,49,6.80483830483972E-4
18.2,54,9.107046505743455E-4
18.400000000000002,63,7.133808493231442E-4
18.6,64,6.674017571176307E-4
18.8,59,7.297111478068316E-4
19.0,73,7.970305527820187E-4
19.2,61,8.782241947979657E-4
19.400000000000002,54,6.780824083382128E-4
19.6,71,8.840211100405355E-4
19.8,69,8.171943425747941E-4
20.0,54,7.955684847864361E-4
20.200000000000003,62,7.135820058462698E-4
20.400000000000002,56,7.392811700340403E-4
20.6,60,7.439351874395044E-4
20.8,66,7.465569627066557E-4
