size,rounds,error
20,27,2.7254189255216944E-4
30,24,2.6119542205336186E-4
40,26,3.399835592009737E-4
50,29,2.754926383850886E-4
60,27,2.876192778291653E-4
70,29,2.575353587162559E-4
80,31,2.2588633543136895E-4
90,29,1.983759064456889E-4
100,32,2.0969531434658962E-4
110,34,2.3177168718872693E-4
120,32,1.99818036185088E-4
130,29,2.524103433904438E-4
140,30,2.396497165450841E-4
150,35,2.3188822579844743E-4
160,29,2.608173934790514E-4
170,32,2.3523640506790939E-4
180,29,2.6146472941886617E-4
190,32,2.571329920183835E-4
200,34,2.2257632261879934E-4
210,33,2.328303566106085E-4
220,33,2.422328574211783E-4
230,33,2.3526990795866214E-4
240,37,2.1120604432649514E-4
250,32,2.513395878127653E-4
260,37,2.3782415193623983E-4
270,31,2.3107749806214884E-4
280,34,2.560107707113092E-4
290,36,2.469530025112329E-4
300,33,2.2566094290404237E-4
310,40,2.2370959116480731E-4
320,36,2.2329071407272137E-4
330,34,2.4368423326882638E-4
340,31,2.4995271451247697E-4
350,35,2.2613623708405076E-4
360,36,2.297727226381083E-4
370,32,2.511645035772935E-4
380,43,2.12844787485192E-4
390,38,2.2193034073670248E-4
400,33,2.5408539426605256E-4
410,36,2.4016764282841225E-4
420,40,1.976381317499247E-4
430,40,2.2564913398528708E-4
440,39,2.3512034197100784E-4
450,40,1.9589229382262373E-4
460,36,2.347850583446008E-4
470,39,2.279823732474874E-4
480,35,2.3248677322702528E-4
490,36,2.2161828572244102E-4
500,37,2.2895100265510847E-4
510,36,2.1721154929467418E-4
520,40,2.3741945307027216E-4
530,43,1.9348717955909773E-4
540,36,2.3454976991342267E-4
550,39,2.251900190136589E-4
560,35,2.2245318366374635E-4
570,40,2.0833855075077162E-4
580,36,2.4709405606913035E-4
590,41,2.1310246450425524E-4
600,40,2.3748699523396273E-4
610,41,2.2009827653943662E-4
620,41,2.128777417168283E-4
630,44,2.1734910954778443E-4
640,37,2.364434116053693E-4
650,43,2.1966707505794803E-4
660,41,2.1917210379639282E-4
670,51,2.0194541920404981E-4
680,39,2.260601102486081E-4
690,38,2.136763836848184E-4
700,43,2.1067452578415262E-4
710,41,2.067651864885914E-4
720,41,2.1760817218932575E-4
730,42,2.1629338685037454E-4
740,43,2.176446623903762E-4
750,40,2.2216874848479052E-4
760,40,2.2495534378333783E-4
770,41,2.141170051695594E-4
780,43,2.0147576197345894E-4
790,42,2.1747008335015075E-4
800,37,2.3187463377147388E-4
810,38,2.2193983032458764E-4
820,39,2.1648013226340258E-4
830,41,2.1105240454043534E-4
840,38,2.3050845924490576E-4
850,44,2.2655563608765306E-4
860,45,2.160121047042097E-4
870,43,2.2389018075338445E-4
880,42,2.173556397439375E-4
890,42,2.13921092286979E-4
900,47,2.1407106310836828E-4
910,44,1.997925999205563E-4
920,43,2.0393312419256164E-4
930,40,2.1986305877489746E-4
940,43,2.094037642175913E-4
950,40,2.2689994039093396E-4
960,38,2.1318286449858447E-4
970,49,2.0259901523942713E-4
980,42,2.0473541554341272E-4
990,48,2.1343478429297524E-4
